enrollment_id,student_id,course_id,course_code,term,enrollment_date,role,status,final_grade
ENR000042,KOI000015,COMP401_Summer_2024/25,COMP401,Summer 2024/25,2024-12-31,Student,Enrolled,57.6
ENR000043,KOI000015,DATA301_Summer_2024/25,DATA301,Summer 2024/25,2024-12-09,Student,Enrolled,
ENR000044,KOI000015,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-08-31,Student,Enrolled,70.7
ENR000045,KOI000015,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2024-12-17,Student,Withdrawn,
ENR000046,KOI000016,COMM101_Summer_2024/25,COMM101,Summer 2024/25,2025-01-31,Student,Withdrawn,76.8
ENR000047,KOI000016,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-05-29,Student,Completed,61.8
ENR000048,KOI000016,COMM101_Semester_2_2024,COMM101,Semester 2 2024,2024-07-27,Student,Enrolled,
ENR000049,KOI000017,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2025-02-15,Student,Withdrawn,81.0
ENR000050,KOI000017,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2025-01-01,Student,Enrolled,72.5
ENR000051,KOI000017,MKT201_Semester_1_2024,MKT201,Semester 1 2024,2024-03-08,Student,Enrolled,90.4
ENR000052,KOI000017,ACC201_Semester_1_2024,ACC201,Semester 1 2024,2024-05-20,Student,Enrolled,
ENR000053,KOI000017,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-05-14,Student,Enrolled,71.8
ENR000054,KOI000018,COMP401_Semester_1_2024,COMP401,Semester 1 2024,2024-05-19,Student,Enrolled,
ENR000055,KOI000018,COMM101_Summer_2024/25,COMM101,Summer 2024/25,2024-12-16,Student,Withdrawn,66.3
ENR000056,KOI000018,MKT201_Summer_2024/25,MKT201,Summer 2024/25,2025-01-11,Student,Enrolled,95.9
ENR000057,KOI000018,NET301_Semester_2_2024,NET301,Semester 2 2024,2024-10-14,Student,Enrolled,81.2
ENR000058,KOI000018,SEC401_Summer_2024/25,SEC401,Summer 2024/25,2024-12-04,Student,Withdrawn,55.6
ENR000059,KOI000019,COMP401_Semester_1_2024,COMP401,Semester 1 2024,2024-04-30,Student,Withdrawn,97.0
ENR000060,KOI000019,MKT201_Semester_1_2024,MKT201,Semester 1 2024,2024-05-07,Student,Enrolled,55.0
ENR000061,KOI000019,MKT201_Semester_2_2024,MKT201,Semester 2 2024,2024-08-06,Student,Enrolled,94.0
ENR000062,KOI000021,NET301_Semester_2_2024,NET301,Semester 2 2024,2024-09-12,Student,Withdrawn,51.9
ENR000063,KOI000021,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-04-11,Student,Enrolled,80.9
ENR000064,KOI000021,MGT301_Summer_2024/25,MGT301,Summer 2024/25,2025-01-18,Student,Completed,
ENR000065,KOI000021,BUS101_Semester_2_2024,BUS101,Semester 2 2024,2024-10-18,Student,Enrolled,52.5
ENR000066,KOI000024,NET301_Summer_2024/25,NET301,Summer 2024/25,2025-01-09,Student,Enrolled,92.1
ENR000067,KOI000024,DATA301_Summer_2024/25,DATA301,Summer 2024/25,2025-01-28,Student,Enrolled,61.4
ENR000068,KOI000024,COMP101_Semester_2_2024,COMP101,Semester 2 2024,2024-08-25,Student,Enrolled,72.2
ENR000069,KOI000024,DATA301_Semester_1_2024,DATA301,Semester 1 2024,2024-05-14,Student,Enrolled,
ENR000070,KOI000025,MKT201_Summer_2024/25,MKT201,Summer 2024/25,2025-01-12,Student,Completed,
ENR000071,KOI000025,MGT301_Summer_2024/25,MGT301,Summer 2024/25,2024-12-24,Student,Completed,88.0
ENR000072,KOI000025,COMP201_Summer_2024/25,COMP201,Summer 2024/25,2024-12-29,Student,Enrolled,75.8
ENR000073,KOI000025,WEB201_Semester_1_2024,WEB201,Semester 1 2024,2024-04-13,Student,Enrolled,
ENR000074,KOI000027,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2025-01-30,Student,Withdrawn,
ENR000075,KOI000027,SOFT301_Semester_2_2024,SOFT301,Semester 2 2024,2024-08-16,Student,Enrolled,60.0
ENR000076,KOI000027,COMP301_Summer_2024/25,COMP301,Summer 2024/25,2025-01-03,Student,Enrolled,
ENR000077,KOI000027,STAT201_Semester_2_2024,STAT201,Semester 2 2024,2024-08-14,Student,Completed,
ENR000078,KOI000027,ACC201_Semester_1_2024,ACC201,Semester 1 2024,2024-04-29,Student,Enrolled,63.7
ENR000079,KOI000028,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2025-01-28,Student,Enrolled,
ENR000080,KOI000028,SOFT301_Semester_2_2024,SOFT301,Semester 2 2024,2024-09-26,Student,Completed,58.9
ENR000081,KOI000028,MGT301_Semester_2_2024,MGT301,Semester 2 2024,2024-07-31,Student,Completed,67.5
ENR000082,KOI000028,COMP301_Semester_2_2024,COMP301,Semester 2 2024,2024-08-03,Student,Enrolled,62.9
ENR000083,KOI000029,COMP201_Summer_2024/25,COMP201,Summer 2024/25,2024-12-09,Student,Enrolled,89.0
ENR000084,KOI000029,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-03-12,Student,Enrolled,82.4
ENR000085,KOI000029,COMP101_Semester_2_2024,COMP101,Semester 2 2024,2024-07-16,Student,Enrolled,
ENR000086,KOI000029,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-03-26,Student,Completed,93.2
ENR000087,KOI000029,COMP201_Semester_1_2024,COMP201,Semester 1 2024,2024-06-09,Student,Enrolled,56.6
ENR000088,KOI000030,MKT201_Summer_2024/25,MKT201,Summer 2024/25,2025-01-12,Student,Enrolled,
ENR000089,KOI000030,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-05-31,Student,Enrolled,85.5
ENR000090,KOI000030,COMP101_Semester_1_2024,COMP101,Semester 1 2024,2024-03-14,Student,Enrolled,68.8
ENR000091,KOI000032,CLOUD401_Summer_2024/25,CLOUD401,Summer 2024/25,2025-02-17,Student,Withdrawn,69.9
ENR000092,KOI000032,NET301_Semester_2_2024,NET301,Semester 2 2024,2024-08-13,Student,Enrolled,
ENR000093,KOI000032,WEB201_Semester_2_2024,WEB201,Semester 2 2024,2024-07-24,Student,Enrolled,79.7
ENR000094,KOI000032,SEC401_Semester_2_2024,SEC401,Semester 2 2024,2024-07-15,Student,Enrolled,
ENR000095,KOI000033,BUS101_Semester_1_2024,BUS101,Semester 1 2024,2024-05-27,Student,Enrolled,93.1
ENR000096,KOI000033,COMP201_Semester_2_2024,COMP201,Semester 2 2024,2024-08-18,Student,Enrolled,97.6
ENR000097,KOI000033,DATA301_Semester_1_2024,DATA301,Semester 1 2024,2024-03-03,Student,Enrolled,
ENR000098,KOI000034,STAT201_Semester_1_2024,STAT201,Semester 1 2024,2024-03-22,Student,Completed,84.0
ENR000099,KOI000034,NET301_Semester_1_2024,NET301,Semester 1 2024,2024-04-22,Student,Enrolled,99.9
ENR000100,KOI000034,COMP201_Semester_1_2024,COMP201,Semester 1 2024,2024-05-07,Student,Enrolled,70.2
ENR000101,KOI000034,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-05-05,Student,Enrolled,99.7
ENR000102,KOI000034,MKT201_Summer_2024/25,MKT201,Summer 2024/25,2025-02-04,Student,Enrolled,85.7
ENR000103,KOI000036,ACC201_Semester_2_2024,ACC201,Semester 2 2024,2024-11-03,Student,Enrolled,92.3
ENR000104,KOI000036,MGT301_Semester_2_2024,MGT301,Semester 2 2024,2024-07-31,Student,Withdrawn,
ENR000105,KOI000036,STAT201_Summer_2024/25,STAT201,Summer 2024/25,2024-12-05,Student,Enrolled,87.0
ENR000106,KOI000036,BUS101_Semester_1_2024,BUS101,Semester 1 2024,2024-03-29,Student,Withdrawn,59.2
ENR000107,KOI000036,FIN301_Semester_1_2024,FIN301,Semester 1 2024,2024-04-26,Student,Enrolled,61.1
ENR000108,KOI000038,MATH101_Summer_2024/25,MATH101,Summer 2024/25,2025-01-03,Student,Enrolled,79.3
ENR000109,KOI000038,SEC401_Semester_2_2024,SEC401,Semester 2 2024,2024-08-03,Student,Completed,73.5
ENR000110,KOI000038,SOFT301_Summer_2024/25,SOFT301,Summer 2024/25,2024-12-05,Student,Withdrawn,81.0
ENR000111,KOI000039,WEB201_Semester_1_2024,WEB201,Semester 1 2024,2024-03-12,Student,Completed,70.7
ENR000112,KOI000039,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2024-12-05,Student,Enrolled,
ENR000113,KOI000039,COMP301_Semester_2_2024,COMP301,Semester 2 2024,2024-07-15,Student,Enrolled,99.4
ENR000114,KOI000039,FIN301_Semester_2_2024,FIN301,Semester 2 2024,2024-08-21,Student,Completed,
ENR000115,KOI000041,COMP401_Summer_2024/25,COMP401,Summer 2024/25,2025-02-16,Student,Enrolled,52.9
ENR000116,KOI000041,STAT201_Semester_2_2024,STAT201,Semester 2 2024,2024-08-16,Student,Completed,
ENR000117,KOI000041,COMP201_Summer_2024/25,COMP201,Summer 2024/25,2025-01-08,Student,Enrolled,57.9
ENR000118,KOI000041,BUS101_Semester_2_2024,BUS101,Semester 2 2024,2024-10-18,Student,Enrolled,
ENR000119,KOI000041,DATA301_Semester_1_2024,DATA301,Semester 1 2024,2024-03-17,Student,Completed,70.2
ENR000120,KOI000042,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-04-17,Student,Enrolled,97.5
ENR000121,KOI000042,COMP101_Semester_1_2024,COMP101,Semester 1 2024,2024-04-22,Student,Enrolled,76.6
ENR000122,KOI000042,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2025-01-30,Student,Enrolled,81.3
ENR000123,KOI000042,ACC201_Semester_2_2024,ACC201,Semester 2 2024,2024-10-25,Student,Enrolled,
ENR000124,KOI000043,SEC401_Semester_2_2024,SEC401,Semester 2 2024,2024-07-28,Student,Withdrawn,58.4
ENR000125,KOI000043,COMP301_Summer_2024/25,COMP301,Summer 2024/25,2025-02-20,Student,Enrolled,
ENR000126,KOI000043,COMP301_Semester_1_2024,COMP301,Semester 1 2024,2024-04-21,Student,Enrolled,76.0
ENR000127,KOI000043,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-03-23,Student,Withdrawn,94.4
ENR000128,KOI000046,DATA301_Semester_1_2024,DATA301,Semester 1 2024,2024-03-09,Student,Enrolled,
ENR000129,KOI000046,BUS101_Semester_2_2024,BUS101,Semester 2 2024,2024-10-12,Student,Completed,
ENR000130,KOI000046,DATA301_Semester_2_2024,DATA301,Semester 2 2024,2024-09-03,Student,Enrolled,56.6
ENR000131,KOI000047,COMP101_Semester_2_2024,COMP101,Semester 2 2024,2024-08-14,Student,Enrolled,89.6
ENR000132,KOI000047,MKT201_Semester_2_2024,MKT201,Semester 2 2024,2024-10-22,Student,Completed,62.8
ENR000133,KOI000047,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2024-12-11,Student,Withdrawn,79.7
ENR000134,KOI000047,COMP401_Semester_2_2024,COMP401,Semester 2 2024,2024-10-19,Student,Enrolled,82.7
ENR000135,KOI000047,COMP301_Semester_2_2024,COMP301,Semester 2 2024,2024-08-27,Student,Enrolled,
ENR000136,KOI000049,SOFT301_Summer_2024/25,SOFT301,Summer 2024/25,2025-02-06,Student,Enrolled,73.7
ENR000137,KOI000049,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-09-08,Student,Enrolled,
ENR000138,KOI000049,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-03-03,Student,Enrolled,83.1
ENR000139,KOI000050,ACC201_Semester_1_2024,ACC201,Semester 1 2024,2024-05-12,Student,Enrolled,94.9
ENR000140,KOI000050,NET301_Summer_2024/25,NET301,Summer 2024/25,2025-01-03,Student,Withdrawn,55.9
ENR000141,KOI000050,MGT301_Semester_1_2024,MGT301,Semester 1 2024,2024-03-28,Student,Enrolled,74.9
ENR000142,KOI000050,MKT201_Summer_2024/25,MKT201,Summer 2024/25,2025-02-07,Student,Withdrawn,
ENR000143,KOI000050,FIN301_Summer_2024/25,FIN301,Summer 2024/25,2025-01-16,Student,Enrolled,98.7
ENR000144,KOI000052,MATH101_Semester_1_2024,MATH101,Semester 1 2024,2024-05-23,Student,Enrolled,95.5
ENR000145,KOI000052,SOFT301_Summer_2024/25,SOFT301,Summer 2024/25,2025-01-05,Student,Completed,50.1
ENR000146,KOI000052,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-06-03,Student,Enrolled,91.8
ENR000147,KOI000052,COMP401_Semester_2_2024,COMP401,Semester 2 2024,2024-09-12,Student,Completed,
ENR000148,KOI000053,STAT201_Semester_2_2024,STAT201,Semester 2 2024,2024-09-10,Student,Enrolled,82.2
ENR000149,KOI000053,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2025-02-03,Student,Completed,64.8
ENR000150,KOI000053,COMP201_Semester_2_2024,COMP201,Semester 2 2024,2024-09-30,Student,Completed,
ENR000151,KOI000054,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2025-01-11,Student,Enrolled,55.8
ENR000152,KOI000054,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-04-11,Student,Enrolled,
ENR000153,KOI000054,DATA301_Summer_2024/25,DATA301,Summer 2024/25,2025-02-17,Student,Enrolled,58.5
ENR000154,KOI000055,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-09-13,Student,Enrolled,67.1
ENR000155,KOI000055,MGT301_Semester_1_2024,MGT301,Semester 1 2024,2024-04-29,Student,Enrolled,98.1
ENR000156,KOI000055,NET301_Summer_2024/25,NET301,Summer 2024/25,2024-12-22,Student,Enrolled,84.5
ENR000157,KOI000055,MATH101_Semester_2_2024,MATH101,Semester 2 2024,2024-08-30,Student,Completed,82.4
ENR000158,KOI000056,COMP301_Semester_2_2024,COMP301,Semester 2 2024,2024-10-12,Student,Enrolled,92.2
ENR000159,KOI000056,COMP301_Summer_2024/25,COMP301,Summer 2024/25,2024-12-16,Student,Enrolled,79.5
ENR000160,KOI000056,FIN301_Summer_2024/25,FIN301,Summer 2024/25,2025-02-08,Student,Withdrawn,59.1
ENR000161,KOI000057,STAT201_Semester_2_2024,STAT201,Semester 2 2024,2024-08-14,Student,Enrolled,74.4
ENR000162,KOI000057,DATA301_Semester_2_2024,DATA301,Semester 2 2024,2024-07-22,Student,Completed,53.2
ENR000163,KOI000057,MGT301_Semester_1_2024,MGT301,Semester 1 2024,2024-03-12,Student,Enrolled,
ENR000164,KOI000057,COMP101_Semester_2_2024,COMP101,Semester 2 2024,2024-07-26,Student,Withdrawn,78.8
ENR000165,KOI000058,WEB201_Summer_2024/25,WEB201,Summer 2024/25,2025-01-28,Student,Withdrawn,
ENR000166,KOI000058,FIN301_Semester_1_2024,FIN301,Semester 1 2024,2024-03-19,Student,Enrolled,83.2
ENR000167,KOI000058,DATA301_Semester_1_2024,DATA301,Semester 1 2024,2024-03-25,Student,Completed,
ENR000168,KOI000058,ACC201_Semester_1_2024,ACC201,Semester 1 2024,2024-03-17,Student,Withdrawn,80.6
ENR000169,KOI000058,FIN301_Summer_2024/25,FIN301,Summer 2024/25,2025-01-14,Student,Enrolled,57.8
ENR000170,KOI000059,BUS101_Semester_2_2024,BUS101,Semester 2 2024,2024-08-08,Student,Completed,66.5
ENR000171,KOI000059,COMP401_Semester_2_2024,COMP401,Semester 2 2024,2024-08-12,Student,Enrolled,
ENR000172,KOI000059,COMP201_Semester_2_2024,COMP201,Semester 2 2024,2024-07-29,Student,Enrolled,68.9
ENR000173,KOI000059,STAT201_Semester_1_2024,STAT201,Semester 1 2024,2024-04-20,Student,Enrolled,
ENR000174,KOI000060,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-04-30,Student,Completed,55.9
ENR000175,KOI000060,MKT201_Semester_1_2024,MKT201,Semester 1 2024,2024-04-28,Student,Completed,50.9
ENR000176,KOI000060,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-11-04,Student,Completed,77.9
ENR000177,KOI000060,COMP201_Summer_2024/25,COMP201,Summer 2024/25,2024-12-25,Student,Enrolled,89.6
ENR000178,KOI000061,MGT301_Semester_2_2024,MGT301,Semester 2 2024,2024-10-16,Student,Completed,68.2
ENR000179,KOI000061,SEC401_Semester_2_2024,SEC401,Semester 2 2024,2024-10-07,Student,Enrolled,92.2
ENR000180,KOI000061,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2025-01-10,Student,Enrolled,81.0
ENR000181,KOI000061,ACC201_Summer_2024/25,ACC201,Summer 2024/25,2024-12-13,Student,Completed,68.2
ENR000182,KOI000061,WEB201_Semester_2_2024,WEB201,Semester 2 2024,2024-10-30,Student,Completed,
ENR000183,KOI000062,WEB201_Summer_2024/25,WEB201,Summer 2024/25,2025-02-10,Student,Enrolled,68.7
ENR000184,KOI000062,COMP101_Semester_1_2024,COMP101,Semester 1 2024,2024-04-24,Student,Enrolled,
ENR000185,KOI000062,DATA301_Semester_1_2024,DATA301,Semester 1 2024,2024-04-06,Student,Enrolled,91.1
ENR000186,KOI000062,DATA301_Semester_2_2024,DATA301,Semester 2 2024,2024-10-14,Student,Completed,
ENR000187,KOI000062,COMM101_Summer_2024/25,COMM101,Summer 2024/25,2025-02-03,Student,Withdrawn,
ENR000188,KOI000065,SOFT301_Semester_2_2024,SOFT301,Semester 2 2024,2024-07-21,Student,Enrolled,55.4
ENR000189,KOI000065,WEB201_Semester_2_2024,WEB201,Semester 2 2024,2024-09-23,Student,Completed,
ENR000190,KOI000065,CLOUD401_Summer_2024/25,CLOUD401,Summer 2024/25,2024-12-17,Student,Withdrawn,
ENR000191,KOI000067,CLOUD401_Summer_2024/25,CLOUD401,Summer 2024/25,2025-01-08,Student,Enrolled,50.2
ENR000192,KOI000067,FIN301_Semester_1_2024,FIN301,Semester 1 2024,2024-04-03,Student,Enrolled,71.6
ENR000193,KOI000067,MKT201_Semester_2_2024,MKT201,Semester 2 2024,2024-09-20,Student,Withdrawn,75.4
ENR000194,KOI000067,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2024-12-08,Student,Enrolled,58.7
ENR000195,KOI000070,COMP301_Semester_1_2024,COMP301,Semester 1 2024,2024-03-06,Student,Withdrawn,66.1
ENR000196,KOI000070,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-03-03,Student,Completed,80.4
ENR000197,KOI000070,FIN301_Semester_1_2024,FIN301,Semester 1 2024,2024-04-14,Student,Enrolled,
ENR000198,KOI000071,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-05-11,Student,Enrolled,85.0
ENR000199,KOI000071,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-08-20,Student,Withdrawn,
ENR000200,KOI000071,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-06-01,Student,Withdrawn,85.6
ENR000201,KOI000071,COMP301_Summer_2024/25,COMP301,Summer 2024/25,2025-01-16,Student,Withdrawn,60.0
ENR000202,KOI000072,MATH101_Semester_1_2024,MATH101,Semester 1 2024,2024-05-13,Student,Enrolled,84.7
ENR000203,KOI000072,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-04-28,Student,Enrolled,88.0
ENR000204,KOI000072,FIN301_Semester_2_2024,FIN301,Semester 2 2024,2024-10-10,Student,Withdrawn,78.5
ENR000205,KOI000072,DATA301_Semester_2_2024,DATA301,Semester 2 2024,2024-08-09,Student,Completed,94.7
ENR000206,KOI000072,COMP301_Summer_2024/25,COMP301,Summer 2024/25,2025-02-19,Student,Withdrawn,
ENR000207,KOI000073,COMM101_Semester_1_2024,COMM101,Semester 1 2024,2024-04-29,Student,Enrolled,52.7
ENR000208,KOI000073,COMP101_Semester_1_2024,COMP101,Semester 1 2024,2024-05-18,Student,Enrolled,
ENR000209,KOI000073,ACC201_Semester_1_2024,ACC201,Semester 1 2024,2024-04-27,Student,Enrolled,84.2
ENR000210,KOI000073,COMP301_Semester_1_2024,COMP301,Semester 1 2024,2024-04-01,Student,Enrolled,84.5
ENR000211,KOI000074,WEB201_Semester_2_2024,WEB201,Semester 2 2024,2024-07-16,Student,Enrolled,55.1
ENR000212,KOI000074,STAT201_Semester_1_2024,STAT201,Semester 1 2024,2024-03-28,Student,Withdrawn,87.1
ENR000213,KOI000074,ACC201_Semester_2_2024,ACC201,Semester 2 2024,2024-09-01,Student,Withdrawn,75.5
ENR000214,KOI000074,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2025-01-11,Student,Enrolled,52.3
ENR000215,KOI000075,SOFT301_Semester_1_2024,SOFT301,Semester 1 2024,2024-03-15,Student,Enrolled,52.7
ENR000216,KOI000075,SOFT301_Summer_2024/25,SOFT301,Summer 2024/25,2025-01-18,Student,Enrolled,
ENR000217,KOI000075,STAT201_Summer_2024/25,STAT201,Summer 2024/25,2025-01-03,Student,Completed,95.6
ENR000218,KOI000075,FIN301_Semester_2_2024,FIN301,Semester 2 2024,2024-08-12,Student,Enrolled,77.3
ENR000219,KOI000077,WEB201_Semester_1_2024,WEB201,Semester 1 2024,2024-03-05,Student,Enrolled,53.7
ENR000220,KOI000077,STAT201_Semester_2_2024,STAT201,Semester 2 2024,2024-08-11,Student,Enrolled,56.0
ENR000221,KOI000077,MATH101_Semester_2_2024,MATH101,Semester 2 2024,2024-08-30,Student,Enrolled,77.8
ENR000222,KOI000077,SEC401_Semester_1_2024,SEC401,Semester 1 2024,2024-06-04,Student,Enrolled,
ENR000223,KOI000077,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-10-19,Student,Enrolled,
ENR000224,KOI000078,MATH101_Semester_1_2024,MATH101,Semester 1 2024,2024-04-19,Student,Withdrawn,
ENR000225,KOI000078,COMP401_Semester_1_2024,COMP401,Semester 1 2024,2024-04-05,Student,Withdrawn,65.1
ENR000226,KOI000078,COMP101_Summer_2024/25,COMP101,Summer 2024/25,2025-02-09,Student,Withdrawn,53.6
ENR000227,KOI000078,SEC401_Summer_2024/25,SEC401,Summer 2024/25,2024-12-19,Student,Enrolled,97.8
ENR000228,KOI000079,COMP201_Semester_2_2024,COMP201,Semester 2 2024,2024-10-04,Student,Withdrawn,54.6
ENR000229,KOI000079,STAT201_Summer_2024/25,STAT201,Summer 2024/25,2024-12-05,Student,Enrolled,83.2
ENR000230,KOI000079,BUS101_Summer_2024/25,BUS101,Summer 2024/25,2025-02-14,Student,Enrolled,60.9
ENR000231,KOI000079,COMP401_Semester_2_2024,COMP401,Semester 2 2024,2024-07-16,Student,Withdrawn,99.8
ENR000232,KOI000079,SOFT301_Summer_2024/25,SOFT301,Summer 2024/25,2025-02-01,Student,Enrolled,
ENR000233,KOI000081,CLOUD401_Semester_2_2024,CLOUD401,Semester 2 2024,2024-09-23,Student,Withdrawn,
ENR000234,KOI000081,NET301_Semester_1_2024,NET301,Semester 1 2024,2024-05-02,Student,Enrolled,66.0
ENR000235,KOI000081,MGT301_Summer_2024/25,MGT301,Summer 2024/25,2025-02-17,Student,Enrolled,77.0
