grade_id,student_id,course_id,assessment_id,assessment_type,marks_obtained,max_marks,percentage,submitted_date,graded_date,feedback
GRD00000012,KOI000001,WEB201_Semester_1_2024,WEB201_Semester_1_2024_Q1,Quiz,20.7,30,74.8,2024-04-20 00:00:00,2024-04-20 00:00:00,Auto-graded
GRD00000013,KOI000001,WEB201_Semester_1_2024,WEB201_Semester_1_2024_Q2,Quiz,17.9,25,97.8,2024-04-10 00:00:00,2024-04-10 00:00:00,Auto-graded
GRD00000014,KOI000001,COMM101_Semester_1_2024,COMM101_Semester_1_2024_A2,Assignment,18.4,25,72.0,2024-04-07 00:00:00,2024-04-12 00:00:00,"Good effort, well done."
GRD00000015,KOI000001,COMM101_Semester_1_2024,COMM101_Semester_1_2024_Q1,Quiz,22.6,30,85.5,2024-03-31 00:00:00,2024-03-31 00:00:00,Auto-graded
GRD00000016,KOI000001,COMM101_Semester_1_2024,COMM101_Semester_1_2024_Q3,Quiz,21.6,30,83.4,2024-05-23 00:00:00,2024-05-23 00:00:00,Auto-graded
GRD00000017,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_A1,Assignment,17.2,20,87.3,2025-01-05 00:00:00,2025-01-16 00:00:00,Needs improvement in analysis.
GRD00000018,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_A2,Assignment,39.4,40,82.2,2025-02-17 00:00:00,2025-02-28 00:00:00,Satisfactory. Consider improvement in...
GRD00000019,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_A3,Assignment,38.5,40,82.4,2025-02-01 00:00:00,2025-02-07 00:00:00,Well researched and presented.
GRD00000020,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_A4,Assignment,15.2,30,97.3,2025-02-08 00:00:00,2025-02-14 00:00:00,Satisfactory. Consider improvement in...
GRD00000021,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_A5,Assignment,14.4,25,80.4,2024-12-30 00:00:00,2025-01-10 00:00:00,"Good effort, well done."
GRD00000022,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_Q1,Quiz,23.5,30,96.5,2024-12-25 00:00:00,2024-12-25 00:00:00,Auto-graded
GRD00000023,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_Q2,Quiz,23.4,25,93.8,2025-01-18 00:00:00,2025-01-18 00:00:00,Auto-graded
GRD00000024,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_Q3,Quiz,12.1,15,69.1,2025-01-01 00:00:00,2025-01-01 00:00:00,Auto-graded
GRD00000025,KOI000001,COMP301_Summer_2024/25,COMP301_Summer_2024/25_Q4,Quiz,21.6,25,75.9,2024-12-21 00:00:00,2024-12-21 00:00:00,Auto-graded
GRD00000026,KOI000003,DATA301_Summer_2024/25,DATA301_Summer_2024/25_A2,Assignment,16.0,30,77.7,2025-02-02 00:00:00,2025-02-15 00:00:00,Excellent work!
GRD00000027,KOI000003,DATA301_Summer_2024/25,DATA301_Summer_2024/25_A3,Assignment,76.1,100,62.2,2024-12-26 00:00:00,2025-01-08 00:00:00,"Good effort, well done."
GRD00000028,KOI000003,DATA301_Summer_2024/25,DATA301_Summer_2024/25_A4,Assignment,42.9,50,58.9,2024-12-30 00:00:00,2025-01-10 00:00:00,Satisfactory. Consider improvement in...
GRD00000029,KOI000003,DATA301_Summer_2024/25,DATA301_Summer_2024/25_Q1,Quiz,9.4,15,96.1,2025-01-30 00:00:00,2025-01-30 00:00:00,Auto-graded
GRD00000030,KOI000003,DATA301_Summer_2024/25,DATA301_Summer_2024/25_Q2,Quiz,18.7,30,69.1,2025-01-12 00:00:00,2025-01-12 00:00:00,Auto-graded
GRD00000031,KOI000003,DATA301_Summer_2024/25,DATA301_Summer_2024/25_Q3,Quiz,8.3,10,78.6,2025-02-06 00:00:00,2025-02-06 00:00:00,Auto-graded
GRD00000032,KOI000003,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A1,Assignment,44.5,50,65.9,2024-04-18 00:00:00,2024-04-22 00:00:00,Well researched and presented.
GRD00000033,KOI000003,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q1,Quiz,10.3,15,79.5,2024-04-10 00:00:00,2024-04-10 00:00:00,Auto-graded
GRD00000034,KOI000003,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q2,Quiz,8.3,10,94.4,2024-04-30 00:00:00,2024-04-30 00:00:00,Auto-graded
GRD00000035,KOI000003,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q4,Quiz,22.8,25,67.8,2024-04-28 00:00:00,2024-04-28 00:00:00,Auto-graded
GRD00000036,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_A1,Assignment,16.1,20,72.8,2024-05-22 00:00:00,2024-05-27 00:00:00,Well researched and presented.
GRD00000037,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_A2,Assignment,37.3,50,58.8,2024-03-27 00:00:00,2024-04-08 00:00:00,Satisfactory. Consider improvement in...
GRD00000038,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_A3,Assignment,16.2,25,93.4,2024-04-16 00:00:00,2024-04-23 00:00:00,Satisfactory. Consider improvement in...
GRD00000039,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_A4,Assignment,75.2,100,81.3,2024-04-19 00:00:00,2024-05-02 00:00:00,"Good effort, well done."
GRD00000040,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_A5,Assignment,13.2,20,98.7,2024-04-13 00:00:00,2024-04-24 00:00:00,"Good effort, well done."
GRD00000041,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_Q1,Quiz,21.7,25,63.8,2024-04-16 00:00:00,2024-04-16 00:00:00,Auto-graded
GRD00000042,KOI000003,FIN301_Semester_1_2024,FIN301_Semester_1_2024_Q2,Quiz,14.7,20,87.5,2024-05-29 00:00:00,2024-05-29 00:00:00,Auto-graded
GRD00000043,KOI000004,MGT301_Summer_2024/25,MGT301_Summer_2024/25_A1,Assignment,14.9,25,55.4,2025-01-15 00:00:00,2025-01-20 00:00:00,Satisfactory. Consider improvement in...
GRD00000044,KOI000004,MGT301_Summer_2024/25,MGT301_Summer_2024/25_A2,Assignment,66.0,100,76.5,2025-02-11 00:00:00,2025-02-22 00:00:00,Satisfactory. Consider improvement in...
GRD00000045,KOI000004,MGT301_Summer_2024/25,MGT301_Summer_2024/25_A3,Assignment,30.3,50,83.6,2025-01-22 00:00:00,2025-01-27 00:00:00,"Good effort, well done."
GRD00000046,KOI000004,MGT301_Summer_2024/25,MGT301_Summer_2024/25_Q1,Quiz,18.3,20,94.1,2024-12-31 00:00:00,2024-12-31 00:00:00,Auto-graded
GRD00000047,KOI000004,MGT301_Summer_2024/25,MGT301_Summer_2024/25_Q2,Quiz,9.9,15,98.3,2025-01-07 00:00:00,2025-01-07 00:00:00,Auto-graded
GRD00000048,KOI000004,COMP401_Summer_2024/25,COMP401_Summer_2024/25_A1,Assignment,16.5,20,89.4,2025-02-17 00:00:00,2025-02-23 00:00:00,Satisfactory. Consider improvement in...
GRD00000049,KOI000004,COMP401_Summer_2024/25,COMP401_Summer_2024/25_A2,Assignment,18.6,20,65.2,2025-01-15 00:00:00,2025-01-21 00:00:00,Satisfactory. Consider improvement in...
GRD00000050,KOI000004,COMP401_Summer_2024/25,COMP401_Summer_2024/25_A3,Assignment,36.6,40,65.8,2025-02-12 00:00:00,2025-02-21 00:00:00,Needs improvement in analysis.
GRD00000051,KOI000004,COMP401_Summer_2024/25,COMP401_Summer_2024/25_Q1,Quiz,15.3,20,90.5,2024-12-30 00:00:00,2024-12-30 00:00:00,Auto-graded
GRD00000052,KOI000004,COMP401_Summer_2024/25,COMP401_Summer_2024/25_Q2,Quiz,14.8,15,74.1,2025-01-14 00:00:00,2025-01-14 00:00:00,Auto-graded
GRD00000053,KOI000004,COMP401_Summer_2024/25,COMP401_Summer_2024/25_Q3,Quiz,29.7,30,90.7,2025-02-17 00:00:00,2025-02-17 00:00:00,Auto-graded
GRD00000054,KOI000004,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A2,Assignment,15.1,25,85.8,2024-05-25 00:00:00,2024-06-10 00:00:00,Satisfactory. Consider improvement in...
GRD00000055,KOI000004,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A4,Assignment,69.1,100,77.9,2024-05-18 00:00:00,2024-06-01 00:00:00,"Good effort, well done."
GRD00000056,KOI000004,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q1,Quiz,11.6,15,71.0,2024-04-10 00:00:00,2024-04-10 00:00:00,Auto-graded
GRD00000057,KOI000004,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q3,Quiz,26.7,30,97.7,2024-04-04 00:00:00,2024-04-04 00:00:00,Auto-graded
GRD00000058,KOI000004,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q4,Quiz,24.5,25,97.9,2024-04-28 00:00:00,2024-04-28 00:00:00,Auto-graded
GRD00000059,KOI000005,COMP401_Summer_2024/25,COMP401_Summer_2024/25_A1,Assignment,13.9,20,98.0,2025-02-16 00:00:00,2025-02-23 00:00:00,Satisfactory. Consider improvement in...
GRD00000060,KOI000005,COMP401_Summer_2024/25,COMP401_Summer_2024/25_A2,Assignment,15.9,20,53.0,2025-01-16 00:00:00,2025-01-27 00:00:00,Satisfactory. Consider improvement in...
GRD00000061,KOI000005,COMP401_Summer_2024/25,COMP401_Summer_2024/25_A3,Assignment,27.4,40,96.2,2025-02-14 00:00:00,2025-02-22 00:00:00,"Good effort, well done."
GRD00000062,KOI000005,COMP401_Summer_2024/25,COMP401_Summer_2024/25_Q1,Quiz,12.6,20,99.1,2024-12-30 00:00:00,2024-12-30 00:00:00,Auto-graded
GRD00000063,KOI000005,COMP401_Summer_2024/25,COMP401_Summer_2024/25_Q2,Quiz,13.9,15,95.0,2025-01-14 00:00:00,2025-01-14 00:00:00,Auto-graded
GRD00000064,KOI000005,COMP401_Summer_2024/25,COMP401_Summer_2024/25_Q3,Quiz,24.9,30,82.5,2025-02-17 00:00:00,2025-02-17 00:00:00,Auto-graded
GRD00000065,KOI000006,COMP201_Semester_2_2024,COMP201_Semester_2_2024_A1,Assignment,66.4,100,77.3,2024-10-16 00:00:00,2024-10-27 00:00:00,Needs improvement in analysis.
GRD00000066,KOI000006,COMP201_Semester_2_2024,COMP201_Semester_2_2024_A2,Assignment,16.9,20,57.0,2024-08-17 00:00:00,2024-08-31 00:00:00,Satisfactory. Consider improvement in...
GRD00000067,KOI000006,COMP201_Semester_2_2024,COMP201_Semester_2_2024_A3,Assignment,13.6,20,88.6,2024-10-04 00:00:00,2024-10-08 00:00:00,Satisfactory. Consider improvement in...
GRD00000068,KOI000006,COMP201_Semester_2_2024,COMP201_Semester_2_2024_A4,Assignment,21.9,30,66.7,2024-09-07 00:00:00,2024-09-14 00:00:00,Needs improvement in analysis.
GRD00000069,KOI000006,COMP201_Semester_2_2024,COMP201_Semester_2_2024_A5,Assignment,25.6,50,56.0,2024-09-12 00:00:00,2024-09-22 00:00:00,Well researched and presented.
GRD00000070,KOI000006,COMP201_Semester_2_2024,COMP201_Semester_2_2024_Q1,Quiz,27.6,30,93.3,2024-10-10 00:00:00,2024-10-10 00:00:00,Auto-graded
GRD00000071,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_A1,Assignment,27.5,40,78.3,2024-06-12 00:00:00,2024-06-21 00:00:00,Satisfactory. Consider improvement in...
GRD00000072,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_A2,Assignment,74.6,100,78.7,2024-04-02 00:00:00,2024-04-14 00:00:00,Excellent work!
GRD00000073,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_A3,Assignment,24.7,25,89.0,2024-03-30 00:00:00,2024-04-13 00:00:00,Needs improvement in analysis.
GRD00000074,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_A4,Assignment,13.6,25,96.1,2024-05-07 00:00:00,2024-05-21 00:00:00,Excellent work!
GRD00000075,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_Q1,Quiz,11.6,15,71.1,2024-05-06 00:00:00,2024-05-06 00:00:00,Auto-graded
GRD00000076,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_Q2,Quiz,14.3,15,89.6,2024-03-12 00:00:00,2024-03-12 00:00:00,Auto-graded
GRD00000077,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_Q3,Quiz,15.7,25,85.9,2024-05-23 00:00:00,2024-05-23 00:00:00,Auto-graded
GRD00000078,KOI000006,NET301_Semester_1_2024,NET301_Semester_1_2024_Q4,Quiz,20.3,25,87.7,2024-05-28 00:00:00,2024-05-28 00:00:00,Auto-graded
GRD00000079,KOI000006,DATA301_Semester_2_2024,DATA301_Semester_2_2024_A1,Assignment,21.5,30,51.1,2024-08-04 00:00:00,2024-08-07 00:00:00,Needs improvement in analysis.
GRD00000080,KOI000006,DATA301_Semester_2_2024,DATA301_Semester_2_2024_A2,Assignment,25.5,50,61.3,2024-08-25 00:00:00,2024-08-31 00:00:00,Satisfactory. Consider improvement in...
GRD00000081,KOI000006,DATA301_Semester_2_2024,DATA301_Semester_2_2024_A3,Assignment,23.8,30,88.4,2024-09-04 00:00:00,2024-09-18 00:00:00,"Good effort, well done."
GRD00000082,KOI000006,DATA301_Semester_2_2024,DATA301_Semester_2_2024_Q1,Quiz,24.9,30,74.2,2024-11-02 00:00:00,2024-11-02 00:00:00,Auto-graded
GRD00000083,KOI000006,DATA301_Semester_2_2024,DATA301_Semester_2_2024_Q2,Quiz,28.4,30,66.1,2024-08-01 00:00:00,2024-08-01 00:00:00,Auto-graded
GRD00000084,KOI000006,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A1,Assignment,12.1,20,59.1,2024-12-19 00:00:00,2024-12-28 00:00:00,Needs improvement in analysis.
GRD00000085,KOI000006,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A2,Assignment,52.0,100,56.4,2025-01-02 00:00:00,2025-01-06 00:00:00,Satisfactory. Consider improvement in...
GRD00000086,KOI000006,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A3,Assignment,19.3,20,82.9,2025-01-27 00:00:00,2025-02-02 00:00:00,"Good effort, well done."
GRD00000087,KOI000006,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A4,Assignment,25.4,40,96.8,2025-02-17 00:00:00,2025-03-03 00:00:00,Satisfactory. Consider improvement in...
GRD00000088,KOI000006,SEC401_Summer_2024/25,SEC401_Summer_2024/25_Q2,Quiz,29.3,30,64.9,2024-12-10 00:00:00,2024-12-10 00:00:00,Auto-graded
GRD00000089,KOI000006,SEC401_Summer_2024/25,SEC401_Summer_2024/25_Q3,Quiz,12.2,20,94.7,2025-02-01 00:00:00,2025-02-01 00:00:00,Auto-graded
GRD00000090,KOI000006,COMP401_Semester_2_2024,COMP401_Semester_2_2024_A1,Assignment,60.4,100,52.5,2024-08-30 00:00:00,2024-09-09 00:00:00,"Good effort, well done."
GRD00000091,KOI000006,COMP401_Semester_2_2024,COMP401_Semester_2_2024_A2,Assignment,17.3,25,90.7,2024-10-26 00:00:00,2024-10-29 00:00:00,Needs improvement in analysis.
GRD00000092,KOI000006,COMP401_Semester_2_2024,COMP401_Semester_2_2024_A3,Assignment,21.6,25,56.1,2024-08-13 00:00:00,2024-08-16 00:00:00,Well researched and presented.
GRD00000093,KOI000006,COMP401_Semester_2_2024,COMP401_Semester_2_2024_A4,Assignment,20.4,30,99.8,2024-08-01 00:00:00,2024-08-08 00:00:00,"Good effort, well done."
GRD00000094,KOI000006,COMP401_Semester_2_2024,COMP401_Semester_2_2024_Q1,Quiz,13.8,15,74.4,2024-08-13 00:00:00,2024-08-13 00:00:00,Auto-graded
GRD00000095,KOI000006,COMP401_Semester_2_2024,COMP401_Semester_2_2024_Q2,Quiz,12.9,20,78.3,2024-10-02 00:00:00,2024-10-02 00:00:00,Auto-graded
GRD00000096,KOI000009,BUS101_Semester_2_2024,BUS101_Semester_2_2024_A1,Assignment,21.0,30,92.9,2024-10-27 00:00:00,2024-11-04 00:00:00,Satisfactory. Consider improvement in...
GRD00000097,KOI000009,BUS101_Semester_2_2024,BUS101_Semester_2_2024_A2,Assignment,14.3,20,92.4,2024-08-10 00:00:00,2024-08-16 00:00:00,Excellent work!
GRD00000098,KOI000009,BUS101_Semester_2_2024,BUS101_Semester_2_2024_A3,Assignment,36.2,40,93.8,2024-08-07 00:00:00,2024-08-12 00:00:00,Satisfactory. Consider improvement in...
GRD00000099,KOI000009,BUS101_Semester_2_2024,BUS101_Semester_2_2024_Q1,Quiz,13.4,20,60.4,2024-08-30 00:00:00,2024-08-30 00:00:00,Auto-graded
GRD00000100,KOI000009,BUS101_Semester_2_2024,BUS101_Semester_2_2024_Q2,Quiz,16.4,25,78.8,2024-10-12 00:00:00,2024-10-12 00:00:00,Auto-graded
GRD00000101,KOI000009,BUS101_Semester_2_2024,BUS101_Semester_2_2024_Q4,Quiz,13.7,20,89.6,2024-10-25 00:00:00,2024-10-25 00:00:00,Auto-graded
GRD00000102,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_A1,Assignment,80.9,100,91.2,2024-04-22 00:00:00,2024-04-28 00:00:00,"Good effort, well done."
GRD00000103,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_A2,Assignment,39.3,40,87.1,2024-06-01 00:00:00,2024-06-08 00:00:00,Excellent work!
GRD00000104,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_A3,Assignment,25.7,50,60.2,2024-05-26 00:00:00,2024-06-09 00:00:00,Satisfactory. Consider improvement in...
GRD00000105,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_A4,Assignment,63.3,100,66.1,2024-05-02 00:00:00,2024-05-08 00:00:00,Excellent work!
GRD00000106,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_A5,Assignment,10.3,20,93.6,2024-06-05 00:00:00,2024-06-09 00:00:00,Needs improvement in analysis.
GRD00000107,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_Q1,Quiz,12.6,15,81.0,2024-03-24 00:00:00,2024-03-24 00:00:00,Auto-graded
GRD00000108,KOI000009,SOFT301_Semester_1_2024,SOFT301_Semester_1_2024_Q2,Quiz,9.1,15,95.9,2024-05-06 00:00:00,2024-05-06 00:00:00,Auto-graded
GRD00000109,KOI000009,DATA301_Semester_2_2024,DATA301_Semester_2_2024_A2,Assignment,27.8,50,73.8,2024-08-25 00:00:00,2024-09-11 00:00:00,Needs improvement in analysis.
GRD00000110,KOI000009,DATA301_Semester_2_2024,DATA301_Semester_2_2024_A3,Assignment,27.9,30,90.5,2024-09-07 00:00:00,2024-09-12 00:00:00,Well researched and presented.
GRD00000111,KOI000009,DATA301_Semester_2_2024,DATA301_Semester_2_2024_Q1,Quiz,28.8,30,65.1,2024-11-02 00:00:00,2024-11-02 00:00:00,Auto-graded
GRD00000112,KOI000009,DATA301_Semester_2_2024,DATA301_Semester_2_2024_Q2,Quiz,22.4,30,84.5,2024-08-01 00:00:00,2024-08-01 00:00:00,Auto-graded
GRD00000113,KOI000009,ACC201_Semester_2_2024,ACC201_Semester_2_2024_A1,Assignment,18.5,25,87.4,2024-09-02 00:00:00,2024-09-06 00:00:00,"Good effort, well done."
GRD00000114,KOI000009,ACC201_Semester_2_2024,ACC201_Semester_2_2024_A2,Assignment,27.1,30,57.1,2024-10-10 00:00:00,2024-10-22 00:00:00,Excellent work!
GRD00000115,KOI000009,ACC201_Semester_2_2024,ACC201_Semester_2_2024_A3,Assignment,12.8,20,80.8,2024-08-02 00:00:00,2024-08-07 00:00:00,Satisfactory. Consider improvement in...
GRD00000116,KOI000009,ACC201_Semester_2_2024,ACC201_Semester_2_2024_A5,Assignment,13.3,20,98.7,2024-09-16 00:00:00,2024-10-01 00:00:00,"Good effort, well done."
GRD00000117,KOI000009,ACC201_Semester_2_2024,ACC201_Semester_2_2024_A6,Assignment,20.6,30,57.3,2024-08-10 00:00:00,2024-08-22 00:00:00,Well researched and presented.
GRD00000118,KOI000009,ACC201_Semester_2_2024,ACC201_Semester_2_2024_Q1,Quiz,9.2,10,99.2,2024-08-05 00:00:00,2024-08-05 00:00:00,Auto-graded
GRD00000119,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A1,Assignment,18.4,20,61.9,2024-12-16 00:00:00,2024-12-25 00:00:00,Excellent work!
GRD00000120,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A2,Assignment,74.2,100,67.2,2025-01-01 00:00:00,2025-01-12 00:00:00,"Good effort, well done."
GRD00000121,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A3,Assignment,12.6,20,72.0,2025-01-26 00:00:00,2025-02-08 00:00:00,Needs improvement in analysis.
GRD00000122,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_A4,Assignment,26.7,40,94.6,2025-02-16 00:00:00,2025-02-24 00:00:00,Well researched and presented.
GRD00000123,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_Q1,Quiz,7.8,10,63.9,2025-01-29 00:00:00,2025-01-29 00:00:00,Auto-graded
GRD00000124,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_Q2,Quiz,27.2,30,70.5,2024-12-10 00:00:00,2024-12-10 00:00:00,Auto-graded
GRD00000125,KOI000010,SEC401_Summer_2024/25,SEC401_Summer_2024/25_Q3,Quiz,15.4,20,61.0,2025-02-01 00:00:00,2025-02-01 00:00:00,Auto-graded
GRD00000126,KOI000010,NET301_Semester_2_2024,NET301_Semester_2_2024_A1,Assignment,13.7,25,98.8,2024-08-12 00:00:00,2024-08-14 00:00:00,Needs improvement in analysis.
GRD00000127,KOI000010,NET301_Semester_2_2024,NET301_Semester_2_2024_A2,Assignment,56.3,100,67.4,2024-11-04 00:00:00,2024-11-14 00:00:00,Needs improvement in analysis.
GRD00000128,KOI000010,NET301_Semester_2_2024,NET301_Semester_2_2024_A3,Assignment,16.2,30,93.3,2024-09-27 00:00:00,2024-10-05 00:00:00,Needs improvement in analysis.
GRD00000129,KOI000010,NET301_Semester_2_2024,NET301_Semester_2_2024_Q1,Quiz,23.4,25,68.9,2024-08-05 00:00:00,2024-08-05 00:00:00,Auto-graded
GRD00000130,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_A1,Assignment,13.5,20,80.0,2024-03-21 00:00:00,2024-04-01 00:00:00,Needs improvement in analysis.
GRD00000131,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_A2,Assignment,36.0,40,68.1,2024-04-15 00:00:00,2024-04-28 00:00:00,Needs improvement in analysis.
GRD00000132,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_A5,Assignment,16.3,20,92.9,2024-04-25 00:00:00,2024-05-10 00:00:00,"Good effort, well done."
GRD00000133,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_Q1,Quiz,9.8,10,77.0,2024-04-27 00:00:00,2024-04-27 00:00:00,Auto-graded
GRD00000134,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_Q2,Quiz,12.4,20,98.8,2024-05-26 00:00:00,2024-05-26 00:00:00,Auto-graded
GRD00000135,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_Q3,Quiz,7.6,10,80.9,2024-04-10 00:00:00,2024-04-10 00:00:00,Auto-graded
GRD00000136,KOI000010,COMP301_Semester_1_2024,COMP301_Semester_1_2024_Q4,Quiz,19.8,25,72.9,2024-04-21 00:00:00,2024-04-21 00:00:00,Auto-graded
GRD00000137,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A1,Assignment,32.5,50,53.7,2024-04-16 00:00:00,2024-04-22 00:00:00,Needs improvement in analysis.
GRD00000138,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A2,Assignment,13.3,25,87.8,2024-05-26 00:00:00,2024-05-30 00:00:00,Well researched and presented.
GRD00000139,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A3,Assignment,17.6,20,90.3,2024-05-13 00:00:00,2024-05-21 00:00:00,"Good effort, well done."
GRD00000140,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_A4,Assignment,69.5,100,59.7,2024-05-17 00:00:00,2024-05-21 00:00:00,"Good effort, well done."
GRD00000141,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q1,Quiz,10.7,15,95.7,2024-04-10 00:00:00,2024-04-10 00:00:00,Auto-graded
GRD00000142,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q3,Quiz,29.3,30,66.1,2024-04-04 00:00:00,2024-04-04 00:00:00,Auto-graded
GRD00000143,KOI000012,MATH101_Semester_1_2024,MATH101_Semester_1_2024_Q4,Quiz,21.7,25,90.4,2024-04-28 00:00:00,2024-04-28 00:00:00,Auto-graded
GRD00000144,KOI000012,COMP101_Semester_2_2024,COMP101_Semester_2_2024_A3,Assignment,13.8,25,81.4,2024-08-05 00:00:00,2024-08-12 00:00:00,Well researched and presented.
GRD00000145,KOI000012,COMP101_Semester_2_2024,COMP101_Semester_2_2024_A4,Assignment,22.5,40,87.1,2024-10-29 00:00:00,2024-11-04 00:00:00,Excellent work!
GRD00000146,KOI000012,COMP101_Semester_2_2024,COMP101_Semester_2_2024_A5,Assignment,87.7,100,86.0,2024-08-12 00:00:00,2024-08-15 00:00:00,Well researched and presented.
